id,nombre,categoria,precio,marca,imagen,descripcion,stock,activo,orden
1,Atún,Alimentos y conservas,540,N/A,https://i.postimg.cc/76xHK6zt/atun_precio_500.png,Lata estándar 200g,10,TRUE,1
2,Pasta de tomate,Alimentos y conservas,380,N/A,https://i.postimg.cc/gjjYPTNv/pasta_tomate_precio_350.png,400 g,10,TRUE,2
3,Aceitunas Verdes,Alimentos y conservas,750,Fragata,https://i.postimg.cc/4yyJTSBj/pimiento_presio_750.png,Rodajas con Pimiento,10,TRUE,3
4,Café Dualis,Alimentos y conservas,1450,Dualis,https://i.postimg.cc/WbZBX2hN/cafe_dualis_250_g_precio_1450.png,Paquete 250 g,10,TRUE,4
5,Café Dufiltro,Alimentos y conservas,1450,Dufiltro,https://i.postimg.cc/hG26fv31/cafe_Dufiltro_250_g_precio_1450.png,Paquete 250 g,10,TRUE,5
6,Pan rallado Enepa,Alimentos y conservas,450,Enepa,https://i.postimg.cc/qvQwHpNJ/pan-rallado.webp,Paquete para empanar,10,TRUE,6
7,Cartón de huevo,Alimentos y conservas,3000,N/A,https://i.postimg.cc/sDWkwVvv/carton_de_huevo_30_u_precio_3100.png,30 unidades,10,TRUE,7
8,Leche condensada,Alimentos y conservas,520,N/A,https://i.postimg.cc/tT2XwjtT/leche_condensada.png,397 g,10,TRUE,8
9,Harina blanca,Alimentos y conservas,600,N/A,https://i.postimg.cc/3xc2NHFB/harina_blanca1_kg.png,Paquete 1 Kg,10,TRUE,9
10,Chicoticos Pelly,Snacks y golosinas,400,Pelly,https://i.postimg.cc/1zv2fXjZ/chicoticos_pelly_90_g_precio_400.png,Paquete 90 g,10,TRUE,10
11,Papitas Campesinas,Snacks y golosinas,690,Acho,https://i.postimg.cc/cLgrDtf9/papitas_campesinas_precio_690.png,Paquete papas fritas,10,TRUE,11
12,Pelly de Jamón,Snacks y golosinas,580,Pelly,https://i.postimg.cc/pdQV7frX/pelly_jamon_precio_580.png,Snack de maíz,10,TRUE,12
13,Mayonesa Mediana,Salsas,850,N/A,https://i.postimg.cc/KzJZw2rR/mayonesa_precio_850.png,Frasco mediano,10,TRUE,13
14,Mayonesa Grande,Salsas,1100,N/A,https://i.postimg.cc/Px2t9jzz/mayonesa_precio1100.png,Frasco grande,10,TRUE,14
15,Cuchilla de Afeitar,Higiene personal,100,N/A,https://i.postimg.cc/8CdkdW7x/cuchilla_de_afeitar_precio_100.png,Unidad desechable,10,TRUE,15
16,Jabón Marwa,Higiene personal,150,Marwa,https://i.postimg.cc/3RK8tRpR/jabon_marwa_precio_150.png,Pastilla de tocador,10,TRUE,16
17,Papel Sanitario,Higiene personal,490,La Excelencia,https://i.postimg.cc/bwW289qD/papel_sanitario_precio_490i.png,Paquete suave,10,TRUE,17
18,Toallas Sanitarias,Higiene personal,450,Kotex,https://i.postimg.cc/KjjZyH0b/toallas_sanitarias_precio_450.png,Paquete con alas,10,TRUE,18
19,Toallas Húmedas,Higiene personal,690,N/A,https://i.postimg.cc/W4ZSP3cw/toallas_humedas_precio_690.png,Paquete limpieza,10,TRUE,19
20,Jabón de Lavar,Aseo del hogar,250,N/A,https://i.postimg.cc/V6YfK6Mz/jabon_de_lavar_precio_250.png,Pastilla de lavar,10,TRUE,20
21,Perfume Candy,Perfumes y desodorantes,3100,Candy,https://i.postimg.cc/vTgJRyhp/perfume_candy_precio_3100.png,Frasco 50 ml,10,TRUE,21
22,Perfume Genérico,Perfumes y desodorantes,3100,N/A,https://i.postimg.cc/ZKrT0PPG/perfume_precio_3100.png,50 ml surtido,10,TRUE,22
23,Perfume Q,Perfumes y desodorantes,3100,Q,https://i.postimg.cc/CL03P3Dn/perfume_q_precio_3100.png,Frasco 50 ml,10,TRUE,23
24,Desodorante Obao,Perfumes y desodorantes,1100,Obao,https://i.postimg.cc/PxtXSxD2/desodorante_obao_precio_1100.png,Roll-on,10,TRUE,24
25,Desodorante Rush Blanco,Perfumes y desodorantes,1000,Rush,https://i.postimg.cc/FR9rTRS8/desodorante_rush_blanco_precio_1000.png,Roll-on,10,TRUE,25
26,Desodorante Rush,Perfumes y desodorantes,1000,Rush,https://i.postimg.cc/sXVjTXSF/desodorante_rush_precio_1000.png,Roll-on surtido,10,TRUE,26
27,Colonia Niña,Perfumes y desodorantes,1100,N/A,https://i.postimg.cc/G3v04rsM/colonia_nina.png,100 ml infantil,10,TRUE,27
28,Macarrones,Pastas y fideos,300,Ada,https://i.postimg.cc/Hsmz1H69/macarrones_precio_300.png,Bolsa 460 g,10,TRUE,28
29,Sopas instantáneas,Pastas y fideos,160,Varios,https://i.postimg.cc/FzNTpQqK/sopas_instantaneas_precio_160.png,Paquete individual,10,TRUE,29
30,Licor de fresa,Bebidas,2500,Albín,https://i.postimg.cc/59YT2x5p/licor_de_fresa_precio_2500.png,Botella crema fresa,10,TRUE,30
31,Licor Cocobay,Bebidas,2500,Cocobay,https://i.postimg.cc/7ZDW90Fz/locor_cocobay_precio_2500.png,Botella licor coco,10,TRUE,31
32,Whisky Spirit 200 ml,Bebidas,320,Spirit,https://i.postimg.cc/4N8W6q1t/tea_precio_320.png,Botella pequeña,10,TRUE,32
33,Whisky Sir Albin 1L,Bebidas,1350,Albín,https://i.postimg.cc/cLyrb4T0/whisky_1L_precio_1350.png,Botella grande,10,TRUE,33
34,Whisky Sir Albin 500ml,Bebidas,550,Albín,https://i.postimg.cc/y84kbYnC/whisky_sir_albin_precio_550.png,Botella mediana,10,TRUE,34
35,Vino Pluvium,Bebidas,1200,Pluvium,https://i.postimg.cc/XNLLWmmx/vino_pluvium_precio_1200.png,Botella vino tinto,10,TRUE,35
36,Baterías Triple A,Electrónicos y accesorios,300,N/A,https://i.postimg.cc/DZ2vxZsT/Gemini_Generated_Image_824rio824rio824r.png,Pack 4 unidades,10,TRUE,36
37,Cerveza Cristal,Bebidas,300,Cristal,https://i.postimg.cc/d1JxDCW3/cervaza-cristal-1.jpg,Lata 355ml,12,TRUE,37
38,Cerveza Holland Import,Bebidas,230,Holland,sin_url,Lata cerveza importada,10,TRUE,38
39,Malta / Pepsi,Bebidas,260,Varios,https://i.postimg.cc/ZKQPnr9K/malta.png,Lata refresco,15,TRUE,39
40,Jugo YES 1L,Bebidas,620,YES,https://i.postimg.cc/fy2cxdBH/jugo_j.png,Tetrapack mango/manzana,8,TRUE,40
41,Agua Embotellada,Bebidas,650,N/A,https://i.postimg.cc/m2gVtL8J/agua.png,Botella 1.5L,10,TRUE,41
42,Frijoles Negros,Alimentos y conservas,820,Da Vicio,https://i.postimg.cc/wvkcjZNf/frijol_negro.png,Paquete granos,5,TRUE,42
43,Avena en Hojuelas,Alimentos y conservas,600,El Puritano,https://i.postimg.cc/sDHmWkNL/avena.png,Paquete avena integral,6,TRUE,43
44,Espaguetis,Pastas y fideos,270,Topside,sin_url,Paquete pasta larga,15,TRUE,44
45,Arroz Seleccionado,Alimentos y conservas,160,N/A,sin_url,Paquete 1lb,0,FALSE,45
46,Patatas Fritas 1kg,Alimentos y conservas,1200,Vima,sin_url,Bolsa congelada,4,TRUE,46
47,Nuggets de Pollo,Alimentos y conservas,950,La Perla,https://i.postimg.cc/KYSnrxDm/nuggets_de_pollo.webp,Paquete empanado,5,TRUE,47
48,Atole Sobre,Alimentos y conservas,400,N/A,https://i.postimg.cc/fTqCdGPh/atole.png,Mezcla en polvo,10,TRUE,48
49,Papas Fritas Acho,Snacks y golosinas,400,Acho,sin_url,Sabor natural/campesina,8,TRUE,49
50,Rosquitas de Maíz,Snacks y golosinas,580,Pelly,sin_url,Snack horneado,10,TRUE,50
51,Detergente Tid,Aseo del hogar,630,Tid,https://i.postimg.cc/3RhF7YkZ/detergente.png,Bolsa detergente polvo,6,TRUE,51
52,Esponjas Pack,Aseo del hogar,250,N/A,sin_url,Pack multiuso,10,TRUE,52
53,Fósforos,Varios,30,N/A,sin_url,Caja de cerillos,50,TRUE,53
54,Aceite,Alimentos y conservas,970,N/A,https://i.postimg.cc/hPZsmk5N/aceite.png,Botella de aceite vegetal,10,TRUE,54
55,Bocaditos de Pollo,Snacks y golosinas,500,N/A,https://i.postimg.cc/GpGxZHmd/bocadito_de_pollo.png,Bocaditos crujientes,10,TRUE,55
56,Jabón de Carbón,Higiene personal,200,N/A,https://i.postimg.cc/Y9xfCZgB/jabon_carbon.png,Jabón artesanal,10,TRUE,56
57,Ketchup,Salsas,450,N/A,https://i.postimg.cc/15XcyWzm/ketchup.png,Salsa de tomate,10,TRUE,57
58,Mostaza,Salsas,450,N/A,https://i.postimg.cc/L6Wk5zqs/mostaza.png,Salsa de mostaza,10,TRUE,58
59,Cerveza Parranda,Bebidas,250,Parranda,https://i.postimg.cc/d31dt1w9/parranda.webp,Cerveza clara,10,TRUE,59
60,Carne de Res,Alimentos y conservas,1500,N/A,https://i.postimg.cc/nh7mLNbw/res.webp,Corte de res fresco,10,TRUE,60
61,Vinagreta,Salsas,350,N/A,https://i.postimg.cc/g0WZL4m5/vinagret.webp,Salsa para ensaladas,10,TRUE,61
